1, 960, Program_c, 6, 49
1, 960, Program_c, 7, 49
1, 960, Program_c, 8, 73
1, 960, Program_c, 10, 35
1, 960, Program_c, 11, 89
1, 960, Program_c, 12, 51
1, 960, Program_c, 13, 103
1, 960, Program_c, 14, 103
1, 960, Program_c, 15, 103
1, 1560, Control_c, 1, 91, 127
1, 1560, Control_c, 2, 91, 0
1, 1560, Control_c, 3, 91, 100
1, 1560, Control_c, 4, 91, 0
1, 1560, Control_c, 5, 91, 0
1, 1560, Control_c, 6, 91, 0
1, 1560, Control_c, 7, 91, 0
1, 1560, Control_c, 8, 91, 100
1, 1560, Control_c, 10, 91, 127
1, 1560, Control_c, 11, 91, 80
1, 1560, Control_c, 12, 91, 0
1, 1560, Control_c, 13, 91, 0
1, 1560, Control_c, 14, 91, 0
1, 1560, Control_c, 15, 91, 127
1, 1740, Control_c, 4, 1, 100
1, 1740, Control_c, 13, 1, 100
1, 1800, Control_c, 5, 1, 100
1, 1800, Control_c, 14, 1, 100
1, 1940, Control_c, 3, 1, 60
1, 1940, Control_c, 8, 1, 60
1, 2880, Note_on_c, 6, 24, 76
1, 2940, Control_c, 6, 11, 2
1, 3000, Control_c, 6, 11, 4
1, 3120, Control_c, 6, 11, 6
1, 3240, Control_c, 6, 11, 8
1, 3360, Control_c, 6, 11, 10
1, 3480, Control_c, 6, 11, 12
1, 3600, Control_c, 6, 11, 14
1, 3720, Control_c, 6, 11, 16
1, 3840, Control_c, 6, 11, 19
1, 3960, Control_c, 6, 11, 21
1, 4080, Control_c, 6, 11, 23
1, 4200, Control_c, 6, 11, 25
1, 4320, Control_c, 6, 11, 27
1, 4440, Control_c, 6, 11, 29
1, 4560, Control_c, 6, 11, 31
1, 4680, Control_c, 6, 11, 33
1, 4800, Control_c, 6, 11, 35
1, 4920, Control_c, 6, 11, 38
1, 5040, Control_c, 6, 11, 40
1, 5160, Control_c, 6, 11, 42
1, 5280, Control_c, 6, 11, 44
1, 5400, Control_c, 6, 11, 46
1, 5520, Control_c, 6, 11, 48
1, 5640, Control_c, 6, 11, 50
1, 5760, Control_c, 6, 11, 52
1, 5880, Control_c, 6, 11, 55
1, 6000, Control_c, 6, 11, 57
1, 6120, Control_c, 6, 11, 59
1, 6240, Control_c, 6, 11, 61
1, 6360, Control_c, 6, 11, 63
1, 6480, Control_c, 6, 11, 65
1, 6600, Control_c, 6, 11, 67
1, 6720, Control_c, 6, 11, 69
1, 6840, Control_c, 6, 11, 71
1, 6960, Control_c, 6, 11, 74
1, 7080, Control_c, 6, 11, 76
1, 7200, Control_c, 6, 11, 78
1, 7320, Control_c, 6, 11, 80
1, 7440, Control_c, 6, 11, 82
1, 7560, Control_c, 6, 11, 84
1, 7680, Control_c, 6, 11, 86
1, 7800, Control_c, 6, 11, 88
1, 7920, Control_c, 6, 11, 91
1, 8040, Control_c, 6, 11, 93
1, 8160, Control_c, 6, 11, 95
1, 8280, Control_c, 6, 11, 97
1, 8400, Control_c, 6, 11, 99
1, 8520, Control_c, 6, 11, 101
1, 8640, Control_c, 6, 11, 103
1, 8760, Control_c, 6, 11, 105
1, 12120, Note_on_c, 1, 84, 105
1, 12120, Note_on_c, 10, 84, 91
1, 12120, Note_on_c, 15, 84, 30
1, 12840, Note_on_c, 10, 84, 0
1, 12900, Note_on_c, 1, 84, 0
1, 13260, Note_on_c, 1, 84, 105
1, 13260, Note_on_c, 10, 84, 91
1, 13980, Note_on_c, 10, 84, 0
1, 14040, Note_on_c, 1, 84, 0
1, 20820, Note_on_c, 15, 84, 0
1, 20940, Note_on_c, 1, 84, 105
1, 20940, Note_on_c, 10, 84, 91
1, 20940, Note_on_c, 15, 84, 30
1, 21660, Note_on_c, 10, 84, 0
1, 21720, Note_on_c, 1, 84, 0
1, 22080, Note_on_c, 1, 84, 105
1, 22080, Note_on_c, 10, 84, 91
1, 22800, Note_on_c, 10, 84, 0
1, 22920, Note_on_c, 1, 84, 0
1, 23160, Note_on_c, 15, 84, 0
1, 23255, Note_on_c, 1, 79, 105
1, 23255, Note_on_c, 10, 79, 91
1, 23255, Note_on_c, 15, 79, 30
1, 23975, Note_on_c, 10, 79, 0
1, 24065, Note_on_c, 1, 79, 0
1, 24540, Note_on_c, 1, 79, 105
1, 24540, Note_on_c, 10, 79, 91
1, 25260, Note_on_c, 10, 79, 0
1, 25380, Note_on_c, 1, 79, 0
1, 31320, Note_on_c, 15, 79, 0
1, 31440, Note_on_c, 1, 84, 105
1, 31440, Note_on_c, 10, 84, 91
1, 31440, Note_on_c, 15, 84, 30
1, 32160, Note_on_c, 10, 84, 0
1, 32340, Note_on_c, 1, 84, 0
1, 32700, Note_on_c, 1, 84, 105
1, 32700, Note_on_c, 10, 84, 91
1, 33420, Note_on_c, 10, 84, 0
1, 33540, Note_on_c, 1, 84, 0
1, 33840, Note_on_c, 15, 84, 0
1, 33960, Note_on_c, 1, 79, 105
1, 33960, Note_on_c, 10, 79, 91
1, 33960, Note_on_c, 15, 79, 30
1, 34680, Note_on_c, 10, 79, 0
1, 34800, Note_on_c, 1, 79, 0
1, 35280, Note_on_c, 1, 79, 105
1, 35280, Note_on_c, 10, 79, 91
1, 36000, Note_on_c, 10, 79, 0
1, 36120, Note_on_c, 1, 79, 0
1, 36600, Note_on_c, 15, 79, 0
1, 36780, Note_on_c, 1, 72, 105
1, 36780, Note_on_c, 10, 72, 91
1, 36780, Note_on_c, 15, 72, 30
1, 37500, Note_on_c, 10, 72, 0
1, 37560, Note_on_c, 1, 72, 0
1, 38160, Note_on_c, 1, 72, 105
